,jersey_no,name,role,salary_rank,salary,team,season
0,1,MS Dhoni,Wicketkeeper Batsman,1,"60,000,000",Chennai Super Kings,2008
1,95,Albie Morkel,Allrounder,95,"27,108,000",Chennai Super Kings,2008
2,159,Jacob Oram,Allrounder,159,"27,108,000",Chennai Super Kings,2008
3,4,Suresh Raina,Batsman,4,"26,000,000",Chennai Super Kings,2008
4,119,Muttiah Muralitharan,Bowler,119,"24,000,000",Chennai Super Kings,2008
5,209,Matthew Hayden,Batsman,209,"15,060,000",Chennai Super Kings,2008
6,345,Stephen Fleming,Batsman,345,"14,056,000",Chennai Super Kings,2008
7,88,Parthiv Patel,Wicketkeeper Batsman,88,"13,000,000",Chennai Super Kings,2008
8,121,Michael Hussey,Batsman,121,"10,040,000",Chennai Super Kings,2008
9,257,Joginder Sharma,Bowler,257,"9,000,000",Chennai Super Kings,2008
10,274,Makhaya Ntini,Bowler,274,"8,032,000",Chennai Super Kings,2008
11,502,Chamara Kapugedera,Batsman,502,"4,016,000",Chennai Super Kings,2008
12,576,Vidyut Sivaramakrishnan,Allrounder,576,"1,200,000",Chennai Super Kings,2008
13,236,Manpreet Gony,Bowler,236,"1,200,000",Chennai Super Kings,2008
14,169,Lakshmipathy Balaji,Bowler,169,"1,200,000",Chennai Super Kings,2008
15,15,Ravichandran Ashwin,Allrounder,15,"1,200,000",Chennai Super Kings,2008
16,356,Anirudha Srikkanth,Batsman,356,"1,200,000",Chennai Super Kings,2008
17,153,S Badrinath,Batsman,153,"1,200,000",Chennai Super Kings,2008
18,402,Arun Karthik,Wicketkeeper Batsman,402,"800,000",Chennai Super Kings,2008
19,399,Abhinav Mukund,Batsman,399,"800,000",Chennai Super Kings,2008
20,273,Sudeep Tyagi,Bowler,273,"400,000",Chennai Super Kings,2008
21,780,Suresh Kumar,Allrounder,780,"400,000",Chennai Super Kings,2008
22,740,Viraj Kadbe,Bowler,740,"400,000",Chennai Super Kings,2008
23,739,Palani Amarnath,Bowler,739,"400,000",Chennai Super Kings,2008
24,251,Shadab Jakati,Bowler,251,"400,000",Chennai Super Kings,2008
25,779,Napoleon Einstein,Batsman,779,"400,000",Chennai Super Kings,2008
26,185,Batsman,Batsman,185,"27,000,000",Rajasthan Royals,2008
27,154,Graeme Smith,Batsman,154,"19,076,000",Rajasthan Royals,2008
28,27,Yusuf Pathan,Allrounder,27,"19,000,000",Rajasthan Royals,2008
29,125,Shane Warne,Bowler,125,"18,072,000",Rajasthan Royals,2008
30,133,Munaf Patel,Bowler,133,"11,000,000",Rajasthan Royals,2008
31,386,Younis Khan,Batsman,386,"9,036,000",Rajasthan Royals,2008
32,318,Justin Langer,Batsman,318,"8,032,000",Rajasthan Royals,2008
33,454,Kamran Akmal,Wicketkeeper Batsman,454,"6,000,000",Rajasthan Royals,2008
34,10,Shane Watson,Allrounder,10,"5,020,000",Rajasthan Royals,2008
35,272,Dimitri Mascarenhas,Allrounder,272,"4,016,000",Rajasthan Royals,2008
36,503,Sohail Tanvir,Bowler,503,"4,016,000",Rajasthan Royals,2008
37,111,Morne Morkel,Bowler,111,"2,409,600",Rajasthan Royals,2008
38,534,Mahesh Rawat,Wicketkeeper Batsman,534,"1,200,000",Rajasthan Royals,2008
39,352,Siddharth Trivedi,Bowler,352,"1,200,000",Rajasthan Royals,2008
40,444,Swapnil Asnodkar,Batsman,444,"1,200,000",Rajasthan Royals,2008
41,355,Jaydev Shah,Batsman,355,"1,200,000",Rajasthan Royals,2008
42,535,Dinesh Salunkhe,Bowler,535,"1,200,000",Rajasthan Royals,2008
43,11,Ravindra Jadeja,Allrounder,11,"1,200,000",Rajasthan Royals,2008
44,577,Niraj Patel,Batsman,577,"1,200,000",Rajasthan Royals,2008
